X直播電視臺 youtube油管 頻道


港臺備用免梯子,#genre#
鳳凰中文,p5p://fccs.123178.top:9906/604477b3000746210186779063f54d2a.ts
Animax HD,p5p://fccs.123178.top:9906/60447df7000cbc13019ef29677465e40.ts
Animax HD,p5p://fccs.123178.top:9906/60447df7000cbc13019ef29677465e40.ts
Animax HD,p5p://fccs.123178.top:9906/611a8d5a000710970c22409682924b74
ANIMAX,p5p://fccs.123178.top:9906/606b4e4f0004a33a03ddafe180ec2c65.ts
ANIMAX,p5p://fccs.123178.top:9906/606b4e4f0004a33a03ddafe180ec2c65.ts
CN卡通,p5p://fccs.123178.top:9906/604480aa000baba001a97d8882607e75.ts
CN卡通,p5p://fccs.123178.top:9906/604480aa000baba001a97d8882607e75.ts
衛視電影臺,p5p://fccs.123178.top:9906/607318ce000ef9a107a827d158704e10.ts
衛視電影臺,p5p://fccs.123178.top:9906/607318ce000ef9a107a827d158704e10.ts
衛視電影臺,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
寰宇新聞臺,p5p://fccs.123178.top:9906/60434bdc0009a41d06d32342bef082c3.ts
寰宇新聞臺,p5p://fccs.123178.top:9906/60434bdc0009a41d06d32342bef082c3.ts
寰宇新聞臺,p5p://fccs.123178.top:9906/60434bdc0009a41d06d32342bef082c3.ts
寰宇新聞臺,p5p://fccs.123178.top:9906/60434bdc0009a41d06d32342bef082c3.ts
寰宇新聞臺,p5p://fccs.123178.top:9906/60434bdc0009a41d06d32342bef082c3.ts
寰宇新聞二臺,p5p://fccs.123178.top:9906/60434c6b000d588a06d552cd4d7910ec.ts
寰宇新聞二臺,p5p://fccs.123178.top:9906/60434c6b000d588a06d552cd4d7910ec.ts
寰宇新聞二臺,p5p://fccs.123178.top:9906/60434c6b000d588a06d552cd4d7910ec.ts
寰宇新聞二臺,p5p://fccs.123178.top:9906/60434c6b000d588a06d552cd4d7910ec.ts
寰宇新聞二臺,p5p://fccs.123178.top:9906/60434c6b000d588a06d552cd4d7910ec.ts
東森幼幼,p5p://fccs.123178.top:9906/6044812c00070c6401ab7829e94ee52d.ts
東森幼幼,p5p://fccs.123178.top:9906/6044812c00070c6401ab7829e94ee52d.ts
東森戲劇,p5p://fccs.123178.top:9906/60449e3500031323021ce24de00b3ef2.ts
東森戲劇,p5p://fccs.123178.top:9906/60449e3500031323021ce24de00b3ef2.ts
東森戲劇,p5p://fccs.123178.top:9906/60449e3500031323021ce24de00b3ef2.ts
東森洋片臺,p5p://fccs.123178.top:9906/60449f6d000c10680221a75af38e252f.ts
東森洋片臺,p5p://fccs.123178.top:9906/60449f6d000c10680221a75af38e252f.ts
三立財經,p5p://fccs.123178.top:9906/604496f8000b3b7b02009e1b5871dd53.ts
三立財經,p5p://fccs.123178.top:9906/604496f8000b3b7b02009e1b5871dd53.ts
三立財經,p5p://fccs.123178.top:9906/604496f8000b3b7b02009e1b5871dd53.ts
三立臺灣臺,p5p://fccs.123178.top:9906/60435a1000013bcc070a9c3b0ad870c7.ts
三立臺灣臺,p5p://fccs.123178.top:9906/60435a1000013bcc070a9c3b0ad870c7.ts
三立臺灣臺,p5p://fccs.123178.top:9906/60435a1000013bcc070a9c3b0ad870c7.ts
三立都會臺,p5p://fccs.123178.top:9906/60435aa10002e65e070cd311539826d8.ts
三立都會臺,p5p://fccs.123178.top:9906/60435aa10002e65e070cd311539826d8.ts
TVBS精彩臺,p5p://fccs.123178.top:9906/610ccbbc000ada220a2a333a700ad566
八大戲劇臺,p5p://fccs.123178.top:9906/6044d5ac000936f902f58cb70525846f.ts
八大戲劇臺,p5p://fccs.123178.top:9906/6044d5ac000936f902f58cb70525846f.ts
年代MUCH,p5p://fccs.123178.top:9906/60449ce00006c4040217af361b6c5a1a.ts
年代MUCH,p5p://fccs.123178.top:9906/60449ce00006c4040217af361b6c5a1a.ts
緯來日本臺,p5p://fccs.123178.top:9906/6044a02c000bf3c30224916a373cdb2c.ts
緯來日本臺,p5p://fccs.123178.top:9906/6044a02c000bf3c30224916a373cdb2c.ts
緯來日本臺,p5p://fccs.123178.top:9906/6044a02c000bf3c30224916a373cdb2c.ts
緯來戲劇,p5p://fccs.123178.top:9906/6044a124000716e6022858ec2ddd7840.ts
緯來戲劇,p5p://fccs.123178.top:9906/6044a124000716e6022858ec2ddd7840.ts
緯來育樂,p5p://fccs.123178.top:9906/6044a24900005a2c022ccfba89cc1d77.ts
緯來育樂,p5p://fccs.123178.top:9906/6044a24900005a2c022ccfba89cc1d77.ts
緯來育樂,p5p://fccs.123178.top:9906/6044a24900005a2c022ccfba89cc1d77.ts
國興衛視,p5p://fccs.123178.top:9906/6044d406000399b302ef1ad77f59ca13.ts
國興衛視,p5p://fccs.123178.top:9906/6044d406000399b302ef1ad77f59ca13.ts
國興衛視,p5p://fccs.123178.top:9906/6044d406000399b302ef1ad77f59ca13.ts
好萊塢電影,p5p://fccs.123178.top:9906/6044d78800021f9602fcce46b541cf65.ts
好萊塢電影,p5p://fccs.123178.top:9906/6044d78800021f9602fcce46b541cf65.ts
好萊塢電影,p5p://fccs.123178.top:9906/6044d78800021f9602fcce46b541cf65.ts
龍祥電影臺,p5p://fccs.123178.top:9906/6045bb31000469b906761b04cfa6bdb1.ts
龍祥電影臺,p5p://fccs.123178.top:9906/6045bb31000469b906761b04cfa6bdb1.ts
東風衛視,p5p://fccs.123178.top:9906/604640af000dbd7a087f919857110af4.ts
東風衛視,p5p://fccs.123178.top:9906/604640af000dbd7a087f919857110af4.ts
東風衛視,p5p://fccs.123178.top:9906/604640af000dbd7a087f919857110af4.ts
天映電影,p5p://fccs.123178.top:9906/60441c660009af940021d366383a86ea.ts
天映電影,p5p://fccs.123178.top:9906/60441c660009af940021d366383a86ea.ts
星衛HD電影,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
星衛HD電影,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
星衛HD電影,p5p://fccs.123178.top:9906/60494c90000347391465f5d2b8473dbe.ts
星衛HD電影,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
thrill電影臺,p5p://fccs.123178.top:9906/604413240002c04b09dd92bffd4adc1b.ts
thrill電影臺,p5p://fccs.123178.top:9906/604413240002c04b09dd92bffd4adc1b.ts
thrill電影臺,p5p://fccs.123178.top:9906/604413240002c04b09dd92bffd4adc1b.ts
KIX電影臺,p5p://fccs.123178.top:9906/6044145c000e8fb900026d95dbb7683a.ts
KIX電影臺,p5p://fccs.123178.top:9906/6044145c000e8fb900026d95dbb7683a.ts
KIX電影臺,p5p://fccs.123178.top:9906/6044145c000e8fb900026d95dbb7683a.ts
罪案偵緝頻道,p5p://fccs.123178.top:9906/604947cc00047a751453588132b90a12.ts
罪案偵緝頻道,p5p://fccs.123178.top:9906/604947cc00047a751453588132b90a12.ts
華納Warner TV,p5p://fccs.123178.top:9906/604414f400055b780004bcfa6ee82d22.ts
華納Warner TV,p5p://fccs.123178.top:9906/604414f400055b780004bcfa6ee82d22.ts
華納Warner TV,p5p://fccs.123178.top:9906/604414f400055b780004bcfa6ee82d22.ts
衛視西片,p5p://fccs.123178.top:9906/604416620003377d000a521e160e3141.ts
衛視西片,p5p://fccs.123178.top:9906/604416620003377d000a521e160e3141.ts
衛視西片,p5p://fccs.123178.top:9906/604416620003377d000a521e160e3141.ts
BLUE ANT EXTREME,p5p://fccs.123178.top:9906/60441771000d4807000e774ad2f62e16.ts
BLUE ANT EXTREME,p5p://fccs.123178.top:9906/60441771000d4807000e774ad2f62e16.ts
FOX HD,p5p://fccs.123178.top:9906/6130442d0000201d133dff92bc0fef39
FOX 頻道,p5p://fccs.123178.top:9906/60440eb10006690c09cc32777254e90a.ts
FOX 頻道,p5p://fccs.123178.top:9906/60440eb10006690c09cc32777254e90a.ts
FOX優質電影臺,p5p://fccs.123178.top:9906/60441060000dae1309d2c7eb236de319.ts
FOX優質電影臺,p5p://fccs.123178.top:9906/60441060000dae1309d2c7eb236de319.ts
Fox福斯家庭,p5p://fccs.123178.top:9906/6044114c0004d19e09d65f86a75bad6b.ts
Fox福斯家庭,p5p://fccs.123178.top:9906/6044114c0004d19e09d65f86a75bad6b.ts
Fox福斯家庭,p5p://fccs.123178.top:9906/60442b6d000654ae005c85e289945252.ts
民視,p5p://fccs.123178.top:9906/604411ec0004d59109d8d087e9645ce6.ts
民視,p5p://fccs.123178.top:9906/604411ec0004d59109d8d087e9645ce6.ts
民視,p5p://fccs.123178.top:9906/604411ec0004d59109d8d087e9645ce6.ts
HBO-HD,p5p://fccs.123178.top:9906/604338a40001163206880e5297cc95ab
HBO-HD,p5p://fccs.123178.top:9906/604338a40001163206880e5297cc95ab
探索亞洲頻道,p5p://fccs.123178.top:9906/60433ee00002fb7906a0692e6558cb55
探索亞洲頻道,p5p://fccs.123178.top:9906/60433ee00002fb7906a0692e6558cb55
探索亞洲頻道,p5p://fccs.123178.top:9906/60433ee00002fb7906a0692e6558cb55.ts
探索科學,p5p://fccs.123178.top:9906/6043456f00065dec06ba08a499663c96
探索科學,p5p://fccs.123178.top:9906/6043456f00065dec06ba08a499663c96
探索動力 DMAX,p5p://fccs.123178.top:9906/6043467c000301e806be22909a147731
探索動力 DMAX,p5p://fccs.123178.top:9906/6043467c000301e806be22909a147731
國家野生,p5p://fccs.123178.top:9906/604401050005fe790996ca7b4ed24991.ts
國家野生,p5p://fccs.123178.top:9906/604401050005fe790996ca7b4ed24991.ts
國家野生,p5p://fccs.123178.top:9906/604401050005fe790996ca7b4ed24991.ts
日本旅遊頻道,p5p://fccs.123178.top:9906/61304d2b000a9536136122700ecd28a5
EYETV旅遊臺,p5p://fccs.123178.top:9906/60494553000b340f1449b191f22032d6.ts
EYETV旅遊臺,p5p://fccs.123178.top:9906/60494553000b340f1449b191f22032d6.ts
EYETV旅遊臺,p5p://fccs.123178.top:9906/60494553000b340f1449b191f22032d6.ts
EYETV戲劇,p5p://fccs.123178.top:9906/60442b6d000654ae005c85e289945252.ts
EYETV戲劇,p5p://fccs.123178.top:9906/60442b6d000654ae005c85e289945252.ts
法國時裝,p5p://fccs.123178.top:9906/6131917c000da76e1853ffa122f43950
時尚瘋高清頻道,p5p://fccs.123178.top:9906/61318fef00087c22184def86f768df3e
Channel V,p5p://fccs.123178.top:9906/607396f000059e490994da3ca99473b4.ts
Channel V,p5p://fccs.123178.top:9906/607396f000059e490994da3ca99473b4.ts
Channel V,p5p://fccs.123178.top:9906/60494a1e0001d684145c682429cd1a38.ts
愛爾達影劇臺,p5p://fccs.123178.top:9906/6044382f0001bdea008e5a851f8cf009.ts
愛爾達影劇臺,p5p://fccs.123178.top:9906/6044382f0001bdea008e5a851f8cf009.ts
愛爾達影劇臺,p5p://fccs.123178.top:9906/6044382f0001bdea008e5a851f8cf009.ts
愛爾達綜合臺,p5p://fccs.123178.top:9906/60689fa0000c9dae134f712965a8f823.ts
愛爾達綜合臺,p5p://fccs.123178.top:9906/60689fa0000c9dae134f712965a8f823.ts
Eleven運動臺1,p5p://fccs.123178.top:9906/60446a54000b4ef801523d80af6dda12.ts
Eleven運動臺1,p5p://fccs.123178.top:9906/60446a54000b4ef801523d80af6dda12.ts
Eleven運動臺1,p5p://fccs.123178.top:9906/60446a54000b4ef801523d80af6dda12.ts
Z 頻道,p5p://fccs.123178.top:9906/60446c7f000b970f015ab58bf1266ed0.ts
Z 頻道,p5p://fccs.123178.top:9906/60446c7f000b970f015ab58bf1266ed0.ts
愛爾達體育1,p5p://fccs.123178.top:9906/60689fa0000c9dae134f712965a8f823.ts


新聞@頻道,#genre#
CCTV13,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctvxw/1300000/mnf.m3u8
北京新聞,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?
北京新聞,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=
鳳凰資訊,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
無線新聞,http://cdn.hkdtmb.com/hls/83/index.m3u8
無線新聞,http://www.chahaoquan.com/wz/epg/tvb.php?id=1


電影@頻道,#genre#
HK03_電影一臺,http://93.190.139.36:8278/streams/d/hk03_twn/playlist.m3u8
衛視卡式臺,http://93.190.139.35:8278/streams/d/Weishilegend/playlist.m3u8
淘電影[高清],http://39.134.134.85:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8
北京IPTV+4K,http://221.179.217.94/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8
衛視電影HD,http://107.167.5.66:80/mylive/102/2061/index.m3u8
天映電影,http://45.126.83.51/qwr9ew/s/s33/01.m3u8
天映經典HD,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
天映電影HD,http://50.7.161.82:8278/streams/d/celestial_pye/playlist.m3u8
天映電影,p5p://fccs.123178.top:9906/60441c660009af940021d366383a86ea.ts
天映電影,p5p://fccs.123178.top:9906/60441c660009af940021d366383a86ea.ts
星衛HD電影,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
星衛HD電影,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
星衛HD電影,p5p://fccs.123178.top:9906/60494c90000347391465f5d2b8473dbe.ts
星衛HD電影,p5p://fccs.123178.top:9906/6044d33b0006a70302ec02a7d10a2600.ts
HBO,http://107.167.5.66:80/mylive/102/2065/index.m3u8
HBO,http://198.16.106.62:8278/streams/d/sundance_twn/playlist.m3u8
HBO,http://125.227.210.37:16027/VideoInput/play.ts
FOXMOVIES,http://60.251.59.179:8504/xoxo.m3u8
FOXMOVIES,http://60.251.59.179:8543/xoxo.m3u8
FOXMOVIES,http://60.251.59.179:8506/xoxo.m3u8
衛視洋片,http://125.227.210.37:18789/VideoInput/play.ts
東森洋片,http://125.227.210.37:18685/VideoInput/play.ts
衛視卡式臺,http://93.190.139.35:8278/streams/d/Weishilegend/playlist.m3u8
電影5_鬥魚,http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv?uuid=
電影6_鬥魚,http://dyscdnali1.douyucdn.cn/live/122402rK7MO9bXSq.flv?uuid=
電影8_鬥魚,http://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv?uuid=
電影14_鬥魚,http://dyscdnali1.douyucdn.cn/live/3637765rrt97QwBF.flv?uuid=
電影16_鬥魚,http://dyscdnali1.douyucdn.cn/live/3637726rQLDdfto7.flv?uuid=
電影18_鬥魚,http://dyscdnali1.douyucdn.cn/live/3928r9p0BHMDG.flv?uuid=
電影21_鬥魚,http://dyscdnali1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv?uuid=
電影44_鬥魚,http://dyscdnali1.douyucdn.cn/live/2935323rnTpNsu74.flv?uuid=
HBO FAMILY,https://liveorigin01.hbogoasia.com:8443/origin/live/FAMILY/index.m3u8
HBO HITS,https://liveorigin01.hbogoasia.com:8443/origin/live/HITS/index.m3u8
HBO SIG,https://liveorigin01.hbogoasia.com:8443/origin/live/SIG/index.m3u8
武林外傳,http://121.51.249.53/tx.hls.huya.com/src/1423782087-1423782087-6115097500295626752-2847687630-10057-A-0-1-imgplus.m3u8

高清@4K,#genre#
鳳凰中文,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
鳳凰中文,http://117.169.124.43:6610/ysten-businessmobile/live/fhchinese/index.m3u8
鳳凰資訊,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
鳳凰資訊,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
鳳凰資訊,http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8

鳳凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
鳳凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804
湖南衛視,http://39.134.155.163/PLTV/88888888/224/3221225667/index.m3u8
湖南衛視,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/hnwshd/2300000/mnf.m3u8
江蘇衛視,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/jswshd/2300000/mnf.m3u8
浙江衛視,http://39.135.138.60:18890/PLTV/88888910/224/3221225703/index.m3u8
浙江衛視,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/zjwshd/2300000/mnf.m3u8
東方衛視,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/hddfws/2300000/mnf.m3u8
北京衛視,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/bjwshd/2300000/mnf.m3u8

淘電影,http://39.134.134.85:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8
淘娛樂,http://39.135.238.69:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226551/1.m3u8
淘萌寵,http://39.135.238.61:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226555/1.m3u8
北京IPTV+4K,http://221.179.217.94/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8
北京IPTV+4K,http://39.134.135.81/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226550/1.m3u8
愛上4K,http://39.134.24.220/PLTV/88888888/224/3221226005/index.m3u8
純享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
歡笑劇場4K,http://223.110.243.153/ott.js.chinamobile.com/PLTV/3/224/3221227715/index.m3u8
4K風光,http://185.228.135.48:8080/tv_home_4k_uhd/index.m3u8
LOVE4K,http://177.20.208.58:8000/play/a03r/index.m3u8
FashionTV,https://fash2043.cloudycdn.services//slive/_definst_/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
冬奧紀實HDR4K,http://221.179.217.94/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226563/1.m3u8
4K花園,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227813/index.m3u8
4K花園,http://223.110.243.163/ott.js.chinamobile.com/PLTV/3/224/3221227749/index.m3u8
4K花園娛樂,http://223.110.243.163/ott.js.chinamobile.com/PLTV/3/224/3221227749/index.m3u8
4KCESHI,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228113/index.m3u8
廣東珠江4K,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=79&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1


香港☒頻道,#genre#
翡翠臺,http://185.207.176.189:8080/channels/tv-81/chunks.m3u8
翡翠臺,https://cdn.hkdtmb.com/hls/81/index.m3u8
翡翠臺,p5p://0198.02686.cc:16871/5f378d9b0003c2e4417a53bb22d95282.ts
翡翠華麗臺,http://198.16.106.62:8278/streams/d/Wlt/playlist.m3u8
J2,https://cdn.hkdtmb.com/hls/82/index.m3u8
J2,p5p://0198.02686.cc:16871/5d1a6990000c457811bd52c53e48f6b9.ts
明珠臺,https://cdn.hkdtmb.com/hls/84/index.m3u8
明珠臺粵語,ttps://cdn.hkdtmb.com/hls/84b/index.m3u8
明珠臺,http://185.207.176.189:8080/channels/tv-84/playlist.m3u8
明珠臺,p5p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts
有線新聞臺,https://api.leonardpark.dev/live/icable/109
有線新聞臺,rtmp://202.39.64.233/channel/60c2d2bd961593122ebaf8b7?sign=mcnHvuVPiT02cz%2F3BKScZixxpsjm297vC8HpmMQ2fS0%3D
有線財經資訊臺,https://api.leonardpark.dev/live/icable/108
有線直播新聞臺,https://api.leonardpark.dev/live/icable/110
有線新聞臺,https://www.navchina.cf/IPTV/icable.php?id=37
有線財經資訊臺,https://www.navchina.cf/IPTV/icable.php?id=38
有線直播新聞臺,https://www.navchina.cf/IPTV/icable.php?id=39
有線18臺,rtmp://161.202.204.248/sat/hk041
無線新聞,http://cdn.hkdtmb.com/hls/83/index.m3u8
無線新聞,http://190.2.133.47:8278/streams/d/Inews/playlist.m3u8
無線新聞,http://www.chahaoquan.com/wz/epg/tvb.php?id=1
無線財經,http://cdn.hkdtmb.com/hls/85/index.m3u8
TVB星河粵語,http://50.7.161.82:8278/streams/d/Xinhe/./playlist.m3u8
TVB星河國語,http://93.190.139.36:8278/streams/d/tvbxinhe_twn/playlist.m3u8
TVBL,https://edge6a.v2h-cdn.com/RE_HD/TVB_HD.stream_720p/playlist.m3u8
ViuTV,https://cdn.hkdtmb.com/hls/99/index.m3u8
ViuTV6,http://cdn.hkdtmb.com/hls/96/index.m3u8
RHK31,https://cdn.hkdtmb.com/hls/31/index.m3u8
RHK31,http://185.207.176.189:8080/channels/tv-31/playlist.m3u8
RHK32,http://livetv.dnsfor.me:80/channel.2.m3u8  
RHK32,http://185.207.176.189:8080/channels/tv-32/playlist.m3u8
RHK32,https://cdn.hkdtmb.com/hls/32/index.m3u8
Now直播331臺,http://livetv.dnsfor.me:80/channel.3.m3u8
Now直播331臺,https://api.leonardpark.dev/live/now/331
Now新聞332臺,http://livetv.dnsfor.me:80/channel.4.m3u8
Now Sports Prime,http://livetv.dnsfor.me/channel.12.m3u8
香港開電視,https://cdn.hkdtmb.com/hls/77/index.m3u8
香港開電視,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
香港開電視,https://www.navchina.cf/IPTV/icable.php?id=77
鳳凰中文 10M1080,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
鳳凰資訊 10M1080,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
鳳凰香港 10M1080,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
鳳凰中文,http://stream.guihet.com/t/ifeng2.php?id=2
鳳凰中文,http://223.110.245.139/PLTV/3/224/3221226922/index.m3u8
鳳凰資訊,http://stream.guihet.com/t/ifeng2.php?id=1
鳳凰資訊,http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8
鳳凰資訊,http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
鳳凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
經典功夫臺,http://103.140.229.13/BOBO/bibi.php?id=21715386
經典功夫臺,http://ftp9524803.host166.gotoip4.cn/bilibili.php?id=21715386
天映頻道,http://45.126.83.51/qwr9ew/s/s33/01.m3u8
